MODE,TTME,INVC,INVT,GC,CHAIR,HINC,PSIZE,AASC,TASC,BASC,CASC,HINCA,PSIZEA        
0,69,59,100,70,0,35,1,1,0,0,0,35,1      
0,34,31,372,71,0,35,1,0,1,0,0,0,0       
0,35,25,417,70,0,35,1,0,0,1,0,0,0       
1,0,10,180,30,0,35,1,0,0,0,1,0,0        
0,64,58,68,68,0,30,2,1,0,0,0,30,2       
0,44,31,354,84,0,30,2,0,1,0,0,0,0       
0,53,25,399,85,0,30,2,0,0,1,0,0,0       
1,0,11,255,50,0,30,2,0,0,0,1,0,0        
0,69,115,125,129,0,40,1,1,0,0,0,40,1    
0,34,98,892,195,0,40,1,0,1,0,0,0,0      
0,35,53,882,149,0,40,1,0,0,1,0,0,0      
1,0,23,720,101,0,40,1,0,0,0,1,0,0       
0,64,49,68,59,0,70,3,1,0,0,0,70,3       
0,44,26,354,79,0,70,3,0,1,0,0,0,0       
0,53,21,399,81,0,70,3,0,0,1,0,0,0       
1,0,5,180,32,0,70,3,0,0,0,1,0,0         
0,64,60,144,82,0,45,2,1,0,0,0,45,2      
0,44,32,404,93,0,45,2,0,1,0,0,0,0       
0,53,26,449,94,0,45,2,0,0,1,0,0,0       
1,0,8,600,99,0,45,2,0,0,0,1,0,0         
0,69,59,100,70,0,20,1,1,0,0,0,20,1      
1,40,20,345,57,0,20,1,0,1,0,0,0,0       
0,35,13,417,58,0,20,1,0,0,1,0,0,0       
0,0,12,284,43,0,20,1,0,0,0,1,0,0        
1,45,148,115,160,1,45,1,1,0,0,0,45,1    
0,34,111,945,213,1,45,1,0,1,0,0,0,0     
0,35,66,935,167,1,45,1,0,0,1,0,0,0      
0,0,36,821,125,1,45,1,0,0,0,1,0,0       
0,69,121,152,137,0,12,1,1,0,0,0,12,1    
0,34,52,889,149,0,12,1,0,1,0,0,0,0      
0,35,50,879,146,0,12,1,0,0,1,0,0,0      
1,0,50,780,135,0,12,1,0,0,0,1,0,0       
0,69,59,100,70,0,40,1,1,0,0,0,40,1      
0,34,31,372,71,0,40,1,0,1,0,0,0,0       
0,35,25,417,70,0,40,1,0,0,1,0,0,0       
1,0,17,210,40,0,40,1,0,0,0,1,0,0        
0,69,58,68,65,0,70,2,1,0,0,0,70,2       
0,34,31,357,69,0,70,2,0,1,0,0,0,0       
0,35,25,402,68,0,70,2,0,0,1,0,0,0       
1,0,7,210,30,0,70,2,0,0,0,1,0,0         
0,64,58,68,68,0,15,2,1,0,0,0,15,2       
0,44,16,357,70,0,15,2,0,1,0,0,0,0       
0,53,13,402,73,0,15,2,0,0,1,0,0,0       
1,0,4,210,36,0,15,2,0,0,0,1,0,0         
0,64,62,108,79,0,35,2,1,0,0,0,35,2      
0,44,34,370,90,0,35,2,0,1,0,0,0,0       
0,53,28,415,91,0,35,2,0,0,1,0,0,0       
1,0,6,250,44,0,35,2,0,0,0,1,0,0         
0,64,45,114,63,0,50,4,1,0,0,0,50,4      
0,44,24,378,81,0,50,4,0,1,0,0,0,0       
0,53,19,423,83,0,50,4,0,0,1,0,0,0       
1,0,5,240,41,0,50,4,0,0,0,1,0,0         
0,64,58,94,72,0,40,1,1,0,0,0,40,1       
0,44,31,360,85,0,40,1,0,1,0,0,0,0       
0,53,25,405,86,0,40,1,0,0,1,0,0,0       
1,0,15,285,58,0,40,1,0,0,0,1,0,0        
0,64,83,169,109,0,26,4,1,0,0,0,26,4     
0,44,70,948,214,0,26,4,0,1,0,0,0,0      
0,53,47,938,189,0,26,4,0,0,1,0,0,0      
1,0,17,1200,199,0,26,4,0,0,0,1,0,0      
0,69,60,127,73,0,26,1,1,0,0,0,26,1      
1,20,19,325,55,0,26,1,0,1,0,0,0,0       
0,35,25,435,72,0,26,1,0,0,1,0,0,0       
0,0,14,350,52,0,26,1,0,0,0,1,0,0        
0,69,61,74,69,0,26,1,1,0,0,0,26,1       
1,15,38,255,66,0,26,1,0,1,0,0,0,0       
0,35,26,389,68,0,26,1,0,0,1,0,0,0       
0,0,13,315,47,0,26,1,0,0,0,1,0,0        
0,69,67,86,76,0,6,1,1,0,0,0,6,1         
1,20,21,300,54,0,6,1,0,1,0,0,0,0        
0,35,19,399,63,0,6,1,0,0,1,0,0,0        
0,0,17,327,53,0,6,1,0,0,0,1,0,0         
0,69,59,148,75,0,20,1,1,0,0,0,20,1      
1,45,18,305,51,0,20,1,0,1,0,0,0,0       
0,35,14,456,63,0,20,1,0,0,1,0,0,0       
0,0,16,427,62,0,20,1,0,0,0,1,0,0        
0,64,58,93,72,0,72,2,1,0,0,0,72,2       
1,10,28,305,75,0,72,2,0,1,0,0,0,0       
0,53,25,346,78,0,72,2,0,0,1,0,0,0       
0,0,9,316,57,0,72,2,0,0,0,1,0,0         
0,69,61,73,69,0,6,1,1,0,0,0,6,1         
1,20,21,305,54,0,6,1,0,1,0,0,0,0        
0,35,15,395,58,0,6,1,0,0,1,0,0,0        
0,0,13,314,47,0,6,1,0,0,0,1,0,0         
0,64,62,235,98,0,10,2,1,0,0,0,10,2      
1,45,45,465,116,0,10,2,0,1,0,0,0,0      
0,53,17,623,111,0,10,2,0,0,1,0,0,0      
0,0,13,559,98,0,10,2,0,0,0,1,0,0        
1,90,142,105,153,1,50,1,1,0,0,0,50,1    
0,34,71,596,136,1,50,1,0,1,0,0,0,0      
0,35,32,590,96,1,50,1,0,0,1,0,0,0       
0,0,33,577,96,1,50,1,0,0,0,1,0,0        
1,50,120,110,132,1,50,1,1,0,0,0,50,1    
0,34,70,596,135,1,50,1,0,1,0,0,0,0      
0,35,31,590,95,1,50,1,0,0,1,0,0,0       
0,0,33,577,96,1,50,1,0,0,0,1,0,0        
1,15,85,65,92,1,18,2,1,0,0,0,18,2       
0,34,15,361,55,1,18,2,0,1,0,0,0,0       
0,35,12,406,56,1,18,2,0,0,1,0,0,0       
0,0,9,296,41,1,18,2,0,0,0,1,0,0         
1,30,85,140,106,1,60,1,1,0,0,0,60,1     
0,44,90,928,231,1,60,1,0,1,0,0,0,0      
0,53,45,918,185,1,60,1,0,0,1,0,0,0      
0,0,86,902,223,1,60,1,0,0,0,1,0,0       
1,80,75,110,87,1,45,1,1,0,0,0,45,1      
0,34,70,638,140,1,45,1,0,1,0,0,0,0      
0,35,31,632,100,1,45,1,0,0,1,0,0,0      
0,0,39,581,102,1,45,1,0,0,0,1,0,0       
1,45,85,140,106,1,18,2,1,0,0,0,18,2     
0,44,39,664,139,1,18,2,0,1,0,0,0,0      
0,53,35,658,135,1,18,2,0,0,1,0,0,0      
0,0,19,592,109,1,18,2,0,0,0,1,0,0       
0,64,74,179,101,0,8,2,1,0,0,0,8,2       
1,60,43,320,91,0,8,2,0,1,0,0,0,0        
0,53,21,345,74,0,8,2,0,0,1,0,0,0        
0,0,9,321,58,0,8,2,0,0,0,1,0,0          
0,69,59,100,70,0,6,1,1,0,0,0,6,1        
1,2,11,285,42,0,6,1,0,1,0,0,0,0         
0,35,13,417,58,0,6,1,0,0,1,0,0,0        
