OBS_ID,MODE,availability_AIR,availability_TRAIN,availability_BUS,availability_CAR,HINC,PSIZE,TTME_AIR,TTME_TRAIN,TTME_BUS,TTME_CAR,INVC_AIR,INVC_TRAIN,INVC_BUS,INVC_CAR,INVT_AIR,INVT_TRAIN,INVT_BUS,INVT_CAR,GC_AIR,GC_TRAIN,GC_BUS,GC_CAR
1,3,1,1,1,1,35,1,69.0,34.0,35.0,0.0,59.0,31.0,25.0,10.0,100.0,372.0,417.0,180.0,70.0,71.0,70.0,30.0
2,3,1,1,1,1,30,2,64.0,44.0,53.0,0.0,58.0,31.0,25.0,11.0,68.0,354.0,399.0,255.0,68.0,84.0,85.0,50.0
3,3,1,1,1,1,40,1,69.0,34.0,35.0,0.0,115.0,98.0,53.0,23.0,125.0,892.0,882.0,720.0,129.0,195.0,149.0,101.0
4,3,1,1,1,1,70,3,64.0,44.0,53.0,0.0,49.0,26.0,21.0,5.0,68.0,354.0,399.0,180.0,59.0,79.0,81.0,32.0
5,3,1,1,1,1,45,2,64.0,44.0,53.0,0.0,60.0,32.0,26.0,8.0,144.0,404.0,449.0,600.0,82.0,93.0,94.0,99.0
6,1,1,1,1,1,20,1,69.0,40.0,35.0,0.0,59.0,20.0,13.0,12.0,100.0,345.0,417.0,284.0,70.0,57.0,58.0,43.0
7,0,1,1,1,1,45,1,45.0,34.0,35.0,0.0,148.0,111.0,66.0,36.0,115.0,945.0,935.0,821.0,160.0,213.0,167.0,125.0
8,3,1,1,1,1,12,1,69.0,34.0,35.0,0.0,121.0,52.0,50.0,50.0,152.0,889.0,879.0,780.0,137.0,149.0,146.0,135.0
9,3,1,1,1,1,40,1,69.0,34.0,35.0,0.0,59.0,31.0,25.0,17.0,100.0,372.0,417.0,210.0,70.0,71.0,70.0,40.0
10,3,1,1,1,1,70,2,69.0,34.0,35.0,0.0,58.0,31.0,25.0,7.0,68.0,357.0,402.0,210.0,65.0,69.0,68.0,30.0
11,3,1,1,1,1,15,2,64.0,44.0,53.0,0.0,58.0,16.0,13.0,4.0,68.0,357.0,402.0,210.0,68.0,70.0,73.0,36.0
12,3,1,1,1,1,35,2,64.0,44.0,53.0,0.0,62.0,34.0,28.0,6.0,108.0,370.0,415.0,250.0,79.0,90.0,91.0,44.0
13,3,1,1,1,1,50,4,64.0,44.0,53.0,0.0,45.0,24.0,19.0,5.0,114.0,378.0,423.0,240.0,63.0,81.0,83.0,41.0
14,3,1,1,1,1,40,1,64.0,44.0,53.0,0.0,58.0,31.0,25.0,15.0,94.0,360.0,405.0,285.0,72.0,85.0,86.0,58.0
15,3,1,1,1,1,26,4,64.0,44.0,53.0,0.0,83.0,70.0,47.0,17.0,169.0,948.0,938.0,1200.0,109.0,214.0,189.0,199.0
16,1,1,1,1,1,26,1,69.0,20.0,35.0,0.0,60.0,19.0,25.0,14.0,127.0,325.0,435.0,350.0,73.0,55.0,72.0,52.0
17,1,1,1,1,1,26,1,69.0,15.0,35.0,0.0,61.0,38.0,26.0,13.0,74.0,255.0,389.0,315.0,69.0,66.0,68.0,47.0
18,1,1,1,1,1,6,1,69.0,20.0,35.0,0.0,67.0,21.0,19.0,17.0,86.0,300.0,399.0,327.0,76.0,54.0,63.0,53.0
19,1,1,1,1,1,20,1,69.0,45.0,35.0,0.0,59.0,18.0,14.0,16.0,148.0,305.0,456.0,427.0,75.0,51.0,63.0,62.0
20,1,1,1,1,1,72,2,64.0,10.0,53.0,0.0,58.0,28.0,25.0,9.0,93.0,305.0,346.0,316.0,72.0,75.0,78.0,57.0
21,1,1,1,1,1,6,1,69.0,20.0,35.0,0.0,61.0,21.0,15.0,13.0,73.0,305.0,395.0,314.0,69.0,54.0,58.0,47.0
22,1,1,1,1,1,10,2,64.0,45.0,53.0,0.0,62.0,45.0,17.0,13.0,235.0,465.0,623.0,559.0,98.0,116.0,111.0,98.0
23,0,1,1,1,1,50,1,90.0,34.0,35.0,0.0,142.0,71.0,32.0,33.0,105.0,596.0,590.0,577.0,153.0,136.0,96.0,96.0
24,0,1,1,1,1,50,1,50.0,34.0,35.0,0.0,120.0,70.0,31.0,33.0,110.0,596.0,590.0,577.0,132.0,135.0,95.0,96.0
25,0,1,1,1,1,18,2,15.0,34.0,35.0,0.0,85.0,15.0,12.0,9.0,65.0,361.0,406.0,296.0,92.0,55.0,56.0,41.0
