,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
0,12669,9656,7561,214,2674,1338
1,7057,9810,9568,1762,3293,1776
2,6353,8808,7684,2405,3516,7844
3,13265,1196,4221,6404,507,1788
4,22615,5410,7198,3915,1777,5185
5,9413,8259,5126,666,1795,1451
6,12126,3199,6975,480,3140,545
7,7579,4956,9426,1669,3321,2566
8,5963,3648,6192,425,1716,750
9,6006,11093,18881,1159,7425,2098
10,3366,5403,12974,4400,5977,1744
11,13146,1124,4523,1420,549,497
12,31714,12319,11757,287,3881,2931
13,21217,6208,14982,3095,6707,602
14,24653,9465,12091,294,5058,2168
15,10253,1114,3821,397,964,412
16,1020,8816,12121,134,4508,1080
17,5876,6157,2933,839,370,4478
18,18601,6327,10099,2205,2767,3181
19,7780,2495,9464,669,2518,501
20,17546,4519,4602,1066,2259,2124
21,5567,871,2010,3383,375,569
22,31276,1917,4469,9408,2381,4334
23,26373,36423,22019,5154,4337,16523
24,22647,9776,13792,2915,4482,5778
25,16165,4230,7595,201,4003,57
26,9898,961,2861,3151,242,833
27,14276,803,3045,485,100,518
28,4113,20484,25957,1158,8604,5206
30,18815,3610,11107,1148,2134,2963
31,2612,4339,3133,2088,820,985
32,21632,1318,2886,266,918,405
33,29729,4786,7326,6130,361,1083
34,1502,1979,2262,425,483,395
35,688,5491,11091,833,4239,436
36,29955,4362,5428,1729,862,4626
37,15168,10556,12477,1920,6506,714
38,4591,15729,16709,33,6956,433
40,24025,4332,4757,9510,1145,5864
41,19176,3065,5956,2033,2575,2802
42,10850,7555,14961,188,6899,46
43,630,11095,23998,787,9529,72
44,9670,7027,10471,541,4618,65
45,5181,22044,21531,1740,7353,4985
46,3103,14069,21955,1668,6792,1452
48,11519,6152,10868,584,5121,1476
49,4967,21412,28921,1798,13583,1163
50,6269,1095,1980,3860,609,2162
51,3347,4051,6996,239,1538,301
53,491,10473,11532,744,5611,224
54,27329,1449,1947,2436,204,1333
55,5264,3683,5005,1057,2024,1130
56,4098,29892,26866,2616,17740,1340
57,5417,9933,10487,38,7572,1282
58,13779,1970,1648,596,227,436
59,6137,5360,8040,129,3084,1603
60,8590,3045,7854,96,4095,225
62,7823,6245,6544,4154,4074,964
63,9396,11601,15775,2896,7677,1295
64,4760,1227,3250,3724,1247,1145
66,9,1534,7417,175,3468,27
67,19913,6759,13462,1256,5141,834
68,2446,7260,3993,5870,788,3095
69,8352,2820,1293,779,656,144
70,16705,2037,3202,10643,116,1365
71,18291,1266,21042,5373,4173,14472
72,4420,5139,2661,8872,1321,181
73,19899,5332,8713,8132,764,648
74,8190,6343,9794,1285,1901,1780
75,20398,1137,3,4407,3,975
76,717,3587,6532,7530,529,894
77,12205,12697,28540,869,12034,1009
78,10766,1175,2067,2096,301,167
79,1640,3259,3655,868,1202,1653
80,7005,829,3009,430,610,529
81,219,9540,14403,283,7818,156
82,10362,9232,11009,737,3537,2342
83,20874,1563,1783,2320,550,772
84,11867,3327,4814,1178,3837,120
88,7864,542,4042,9735,165,46
89,24904,3836,5330,3443,454,3178
90,11405,596,1638,3347,69,360
91,12754,2762,2530,8693,627,1117
92,9198,27472,32034,3232,18906,5130
93,11314,3090,2062,35009,71,2698
94,5626,12220,11323,206,5038,244
95,3,2920,6252,440,223,709
96,23,2616,8118,145,3874,217
97,403,254,610,774,54,63
98,503,112,778,895,56,132
99,9658,2182,1909,5639,215,323
100,11594,7779,12144,3252,8035,3029
101,1420,10810,16267,1593,6766,1838
102,2932,6459,7677,2561,4573,1386
104,14100,2132,3445,1336,1491,548
105,15587,1014,3970,910,139,1378
106,1454,6337,10704,133,6830,1831
107,8797,10646,14886,2471,8969,1438
108,1531,8397,6981,247,2505,1236
109,1406,16729,28986,673,836,3
110,11818,1648,1694,2276,169,1647
111,12579,11114,17569,805,6457,1519
112,19046,2770,2469,8853,483,2708
113,14438,2295,1733,3220,585,1561
114,18044,1080,2000,2555,118,1266
115,11134,793,2988,2715,276,610
116,11173,2521,3355,1517,310,222
117,6990,3880,5380,1647,319,1160
118,20049,1891,2362,5343,411,933
119,8258,2344,2147,3896,266,635
120,17160,1200,3412,2417,174,1136
121,4020,3234,1498,2395,264,255
122,12212,201,245,1991,25,860
123,11170,10769,8814,2194,1976,143
124,36050,1642,2961,4787,500,1621
126,19219,1840,1658,8195,349,483
127,21465,7243,10685,880,2386,2749
128,140,8847,3823,142,1062,3
130,7149,2428,699,6316,395,911
131,2101,589,314,346,70,310
132,14903,2032,2479,576,955,328
133,9434,1042,1235,436,256,396
134,7388,1882,2174,720,47,537
135,6300,1289,2591,1170,199,326
136,4625,8579,7030,4575,2447,1542
137,3087,8080,8282,661,721,36
138,13537,4257,5034,155,249,3271
139,5387,4979,3343,825,637,929
140,17623,4280,7305,2279,960,2616
141,30379,13252,5189,321,51,1450
142,37036,7152,8253,2995,20,3
143,10405,1596,1096,8425,399,318
144,18827,3677,1988,118,516,201
145,22039,8384,34792,42,12591,4430
146,7769,1936,2177,926,73,520
147,9203,3373,2707,1286,1082,526
148,5924,584,542,4052,283,434
149,31812,1433,1651,800,113,1440
150,16225,1825,1765,853,170,1067
151,1289,3328,2022,531,255,1774
152,18840,1371,3135,3001,352,184
153,3463,9250,2368,779,302,1627
154,622,55,137,75,7,8
155,1989,10690,19460,233,11577,2153
156,3830,5291,14855,317,6694,3182
157,17773,1366,2474,3378,811,418
158,2861,6570,9618,930,4004,1682
159,355,7704,14682,398,8077,303
160,1725,3651,12822,824,4424,2157
161,12434,540,283,1092,3,2233
162,15177,2024,3810,2665,232,610
163,5531,15726,26870,2367,13726,446
164,5224,7603,8584,2540,3674,238
165,15615,12653,19858,4425,7108,2379
166,4822,6721,9170,993,4973,3637
167,2926,3195,3268,405,1680,693
168,5809,735,803,1393,79,429
169,5414,717,2155,2399,69,750
170,260,8675,13430,1116,7015,323
171,200,25862,19816,651,8773,6250
172,955,5479,6536,333,2840,707
173,514,7677,19805,937,9836,716
174,286,1208,5241,2515,153,1442
175,2343,7845,11874,52,4196,1697
177,12759,7330,4533,1752,20,2631
178,11002,7075,4945,1152,120,395
179,3157,4888,2500,4477,273,2165
180,12356,6036,8887,402,1382,2794
182,694,8533,10518,443,6907,156
184,327,918,4710,74,334,11
185,8170,6448,1139,2181,58,247
186,3009,521,854,3470,949,727
187,2438,8002,9819,6269,3459,3
188,8040,7639,11687,2758,6839,404
189,834,11577,11522,275,4027,1856
190,16936,6250,1981,7332,118,64
191,13624,295,1381,890,43,84
192,5509,1461,2251,547,187,409
193,180,3485,20292,959,5618,666
194,7107,1012,2974,806,355,1142
195,17023,5139,5230,7888,330,1755
196,30624,7209,4897,18711,763,2876
197,2427,7097,10391,1127,4314,1468
198,11686,2154,6824,3527,592,697
199,9670,2280,2112,520,402,347
200,3067,13240,23127,3941,9959,731
201,4484,14399,24708,3549,14235,1681
202,25203,11487,9490,5065,284,6854
203,583,685,2216,469,954,18
204,1956,891,5226,1383,5,1328
205,1107,11711,23596,955,9265,710
206,6373,780,950,878,288,285
207,2541,4737,6089,2946,5316,120
208,1537,3748,5838,1859,3381,806
209,5550,12729,16767,864,12420,797
210,18567,1895,1393,1801,244,2100
211,12119,28326,39694,4736,19410,2870
212,7291,1012,2062,1291,240,1775
213,3317,6602,6861,1329,3961,1215
214,2362,6551,11364,913,5957,791
215,2806,10765,15538,1374,5828,2388
216,2532,16599,36486,179,13308,674
217,18044,1475,2046,2532,130,1158
218,18,7504,15205,1285,4797,6372
219,4155,367,1390,2306,86,130
220,14755,899,1382,1765,56,749
221,5396,7503,10646,91,4167,239
222,5041,1115,2856,7496,256,375
223,2790,2527,5265,5612,788,1360
224,7274,659,1499,784,70,659
225,12680,3243,4157,660,761,786
226,20782,5921,9212,1759,2568,1553
227,4042,2204,1563,2286,263,689
228,1869,577,572,950,4762,203
229,8656,2746,2501,6845,694,980
230,11072,5989,5615,8321,955,2137
231,2344,10678,3828,1439,1566,490
232,25962,1780,3838,638,284,834
233,964,4984,3316,937,409,7
234,15603,2703,3833,4260,325,2563
235,1838,6380,2824,1218,1216,295
236,8635,820,3047,2312,415,225
237,18692,3838,593,4634,28,1215
238,7363,475,585,1112,72,216
240,22096,3575,7041,11422,343,2564
241,24929,1801,2475,2216,412,1047
242,18226,659,2914,3752,586,578
243,11210,3576,5119,561,1682,2398
244,6202,7775,10817,1183,3143,1970
245,3062,6154,13916,230,8933,2784
246,8885,2428,1777,1777,430,610
247,13569,346,489,2077,44,659
248,15671,5279,2406,559,562,572
249,8040,3795,2070,6340,918,291
250,3191,1993,1799,1730,234,710
251,6134,23133,33586,6746,18594,5121
252,6623,1860,4740,7683,205,1693
253,29526,7961,16966,432,363,1391
254,10379,17972,4748,4686,1547,3265
255,31614,489,1495,3242,111,615
256,11092,5008,5249,453,392,373
257,8475,1931,1883,5004,3593,987
260,9193,4885,2157,327,780,548
261,7858,1110,1094,6818,49,287
262,23257,1372,1677,982,429,655
263,2153,1115,6684,4324,2894,411
264,1073,9679,15445,61,5980,1265
265,5909,23527,13699,10155,830,3636
266,572,9763,22182,2221,4882,2563
267,20893,1222,2576,3975,737,3628
268,11908,8053,19847,1069,6374,698
269,15218,258,1138,2516,333,204
270,4720,1032,975,5500,197,56
271,2083,5007,1563,1120,147,1550
272,514,8323,6869,529,93,1040
273,36817,3045,1493,4802,210,1824
274,894,1703,1841,744,759,1153
275,680,1610,223,862,96,379
276,27901,3749,6964,4479,603,2503
277,9061,829,683,16919,621,139
278,11693,2317,2543,5845,274,1409
279,17360,6200,9694,1293,3620,1721
280,3366,2884,2431,977,167,1104
281,12238,7108,6235,1093,2328,2079
283,25767,3613,2013,10303,314,1384
286,7149,2247,1242,1619,1226,128
287,15354,2102,2828,8366,386,1027
288,16260,594,1296,848,445,258
290,2708,2160,2642,502,965,1522
291,6022,3354,3261,2507,212,686
292,2838,3086,4329,3838,825,1060
293,3996,11103,12469,902,5952,741
294,21273,2013,6550,909,811,1854
295,7588,1897,5234,417,2208,254
296,19087,1304,3643,3045,710,898
297,8090,3199,6986,1455,3712,531
298,6758,4560,9965,934,4538,1037
299,444,879,2060,264,290,259
300,16448,6243,6360,824,2662,2005
301,5283,13316,20399,1809,8752,172
302,2886,5302,9785,364,6236,555
303,2599,3688,13829,492,10069,59
304,161,7460,24773,617,11783,2410
305,243,12939,8852,799,3909,211
306,6468,12867,21570,1840,7558,1543
307,17327,2374,2842,1149,351,925
308,6987,1020,3007,416,257,656
309,918,20655,13567,1465,6846,806
310,7034,1492,2405,12569,299,1117
311,29635,2335,8280,3046,371,117
312,2137,3737,19172,1274,17120,142
313,9784,925,2405,4447,183,297
314,10617,1795,7647,1483,857,1233
315,1479,14982,11924,662,3891,3508
316,7127,1375,2201,2679,83,1059
317,1182,3088,6114,978,821,1637
318,11800,2713,3558,2121,706,51
319,9759,25071,17645,1128,12408,1625
320,1774,3696,2280,514,275,834
321,9155,1897,5167,2714,228,1113
322,15881,713,3315,3703,1470,229
323,13360,944,11593,915,1679,573
324,25977,3587,2464,2369,140,1092
326,4414,1610,1431,3498,387,834
327,542,899,1664,414,88,522
328,16933,2209,3389,7849,210,1534
329,5113,1486,4583,5127,492,739
330,9790,1786,5109,3570,182,1043
331,11223,14881,26839,1234,9606,1102
332,22321,3216,1447,2208,178,2602
334,16823,928,2743,11559,332,3486
335,27082,6817,10790,1365,4111,2139
336,13970,1511,1330,650,146,778
337,9351,1347,2611,8170,442,868
338,3,333,7021,15601,15,550
339,2617,1188,5332,9584,573,1942
340,381,4025,9670,388,7271,1371
341,2320,5763,11238,767,5162,2158
342,255,5758,5923,349,4595,1328
343,1689,6964,26316,1456,15469,37
344,3043,1172,1763,2234,217,379
345,1198,2602,8335,402,3843,303
346,2771,6939,15541,2693,6600,1115
347,27380,7184,12311,2809,4621,1022
348,3428,2380,2028,1341,1184,665
349,5981,14641,20521,2005,12218,445
350,3521,1099,1997,1796,173,995
351,1210,10044,22294,1741,12638,3137
352,608,1106,1533,830,90,195
353,117,6264,21203,228,8682,1111
354,14039,7393,2548,6386,1333,2341
355,190,727,2012,245,184,127
356,22686,134,218,3157,9,548
357,37,1275,22272,137,6747,110
358,759,18664,1660,6114,536,4100
359,796,5878,2109,340,232,776
360,19746,2872,2006,2601,468,503
361,4734,607,864,1206,159,405
362,2121,1601,2453,560,179,712
363,4627,997,4438,191,1335,314
364,2615,873,1524,1103,514,468
365,4692,6128,8025,1619,4515,3105
366,9561,2217,1664,1173,222,447
367,3477,894,534,1457,252,342
368,22335,1196,2406,2046,101,558
369,6211,337,683,1089,41,296
370,39679,3944,4955,1364,523,2235
371,20105,1887,1939,8164,716,790
372,3884,3801,1641,876,397,4829
