Car_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,N_Photos,Price,N_Inquires,is_sold
XL3-1095127,10,1.30E+18,1.31E+18,61763,White,27,110000,34,0
XL3-1095127,4,1.30E+18,1.31E+18,61763,White,27,90000,34,1
XL3-1123648,28,1.30E+18,1.31E+18,60000,Silver,28,110000,53,1
XL3-1139930,17,1.30E+18,1.31E+18,74687,White,27,130000,34,0
XL3-1139930,7,1.30E+18,1.31E+18,74687,White,27,110000,34,1
XL3-1277412,17,1.30E+18,1.31E+18,56084,Silver,26,150000,58,0
XL3-1277412,21,1.30E+18,1.31E+18,56084,Silver,26,110000,58,1
XL3-1513147,4,1.30E+18,1.31E+18,63000,White,29,150000,20,0
XL3-1513147,18,1.30E+18,1.31E+18,63000,White,29,120000,20,1
XL3-1146406,48,1.31E+18,1.32E+18,77059,Black,28,150000,73,0
XL3-1146406,11,1.31E+18,1.32E+18,77059,Black,28,115000,73,1
XL3-1174578,15,1.30E+18,1.31E+18,59116,White,28,150000,76,0
XL3-1174578,20,1.30E+18,1.31E+18,59116,White,28,100000,76,1
XL3-1187459,29,1.31E+18,1.31E+18,78399,Silver,27,150000,33,1
XL3-1565565,57,1.30E+18,1.32E+18,76341,Brown,27,190000,99,0
XL3-1565565,13,1.31E+18,1.32E+18,76341,Brown,27,90000,99,1
XL3-1040052,13,1.31E+18,1.31E+18,58000,White,27,130000,19,0
XL3-1040052,0,1.31E+18,1.31E+18,58000,White,27,120000,19,1
XL3-1194407,5,1.30E+18,1.31E+18,58723,White,28,150000,29,0
XL3-1194407,24,1.31E+18,1.31E+18,58723,White,28,110000,29,1
XL3-1192590,11,1.30E+18,1.31E+18,84985,Black,27,150000,28,0
XL3-1192590,36,1.31E+18,1.31E+18,84985,Black,27,135000,28,1
XL3-1121243,63,1.31E+18,1.32E+18,90663,Brown,27,190000,105,0
XL3-1121243,17,1.31E+18,1.32E+18,90663,Brown,27,70000,105,1
XL3-1231451,40,1.31E+18,1.31E+18,57554,Black,27,150000,19,0
XL3-1231451,0,1.31E+18,1.31E+18,57554,Black,27,120000,19,1
XL3-1239031,30,1.31E+18,1.32E+18,49564,Black,28,110000,132,0
XL3-1239031,19,1.31E+18,1.32E+18,49564,Black,28,80000,132,1
XL3-1190257,22,1.31E+18,1.31E+18,15582,Silver,28,130000,38,0
XL3-1190257,2,1.31E+18,1.31E+18,15582,Silver,28,110000,38,1
XL3-1182288,1,1.31E+18,1.31E+18,51738,White,28,130000,36,0
XL3-1182288,13,1.31E+18,1.31E+18,51738,White,28,110000,36,1
XL3-1166511,7,1.31E+18,1.31E+18,55503,Silver,28,170000,24,0
XL3-1166511,21,1.31E+18,1.31E+18,55503,Silver,28,120000,24,1
XL3-1204750,3,1.31E+18,1.31E+18,59330,White,28,130000,42,0
XL3-1204750,15,1.31E+18,1.31E+18,59330,White,28,110000,42,1
XL3-1187829,13,1.31E+18,1.32E+18,83921,Black,27,150000,69,0
XL3-1187829,47,1.31E+18,1.32E+18,83921,Black,27,100000,69,1
XL3-1230947,7,1.31E+18,1.32E+18,87518,White,27,130000,20,0
XL3-1230947,15,1.31E+18,1.32E+18,87518,White,27,115000,20,1
XL3-1562678,8,1.31E+18,1.32E+18,85500,White,28,150000,17,0
XL3-1562678,14,1.31E+18,1.32E+18,85500,White,28,120000,17,1
XL3-1000384,5,1.31E+18,1.32E+18,53678,White,26,150000,62,0
XL3-1000384,15,1.31E+18,1.32E+18,53678,White,26,110000,62,1
XL3-1225553,5,1.31E+18,1.32E+18,55250,White,27,130000,18,0
XL3-1225553,3,1.31E+18,1.32E+18,55250,White,27,110000,18,1
XL3-1021762,1,1.31E+18,1.32E+18,82745,White,27,110000,13,0
XL3-1021762,3,1.31E+18,1.32E+18,82745,White,27,100000,13,1
XL3-1534541,5,1.31E+18,1.32E+18,52394,Black,28,140000,83,0
XL3-1534541,37,1.32E+18,1.32E+18,52394,Black,28,120000,83,1
XL3-1217862,14,1.32E+18,1.32E+18,58754,White,27,150000,48,0
XL3-1217862,8,1.32E+18,1.32E+18,58754,White,27,130000,48,1
XL3-1247930,21,1.32E+18,1.32E+18,60415,Silver,28,130000,41,0
XL3-1247930,10,1.32E+18,1.32E+18,60415,Silver,28,115000,41,1
XL3-1230859,18,1.32E+18,1.32E+18,81450,White,28,90000,57,1
XL3-1239127,16,1.32E+18,1.32E+18,32005,White,28,150000,14,1
XL3-1015709,59,1.32E+18,1.33E+18,73553,Brown,26,130000,57,0
XL3-1015709,6,1.32E+18,1.33E+18,73553,Brown,26,70000,57,1
XL3-1539718,9,1.32E+18,1.32E+18,66000,Silver,28,130000,49,0
XL3-1539718,27,1.32E+18,1.32E+18,66000,Silver,28,95000,49,1
XL3-1524024,35,1.32E+18,1.33E+18,48500,Black,28,150000,96,0
XL3-1524024,21,1.32E+18,1.33E+18,48500,Black,28,70000,96,1
XL3-1257795,4,1.32E+18,1.32E+18,46951,White,28,150000,11,0
XL3-1257795,4,1.32E+18,1.32E+18,46951,White,28,120000,11,1
XL3-1054263,35,1.32E+18,1.33E+18,60865,Black,26,130000,55,0
XL3-1054263,17,1.32E+18,1.33E+18,60865,Black,26,75000,55,1
XL3-1535884,7,1.32E+18,1.32E+18,67647,White,27,130000,8,1
XL3-1204356,14,1.32E+18,1.33E+18,49161,White,27,130000,26,0
XL3-1204356,9,1.32E+18,1.33E+18,49161,White,27,120000,26,1
XL3-1236548,15,1.32E+18,1.32E+18,52292,White,26,130000,22,0
XL3-1236548,5,1.32E+18,1.32E+18,52292,White,26,95000,22,1
XL3-1128542,18,1.32E+18,1.32E+18,38000,White,28,130000,53,0
XL3-1128542,8,1.32E+18,1.32E+18,38000,White,28,95000,53,1
XL3-1018069,19,1.32E+18,1.32E+18,46500,White,28,130000,14,0
XL3-1018069,3,1.32E+18,1.32E+18,46500,White,28,105000,14,1
XL3-1251464,18,1.32E+18,1.33E+18,68252,Silver,29,110000,96,0
XL3-1251464,24,1.32E+18,1.33E+18,68252,Silver,29,70000,96,1
XL3-1275370,0,1.32E+18,1.32E+18,65558,White,27,110000,18,0
XL3-1275370,8,1.32E+18,1.32E+18,65558,White,27,90000,18,1
XL3-1267905,4,1.32E+18,1.32E+18,47073,Silver,30,150000,20,0
XL3-1267905,25,1.32E+18,1.32E+18,47073,Silver,30,95000,20,1
XL3-1255611,35,1.32E+18,1.33E+18,64618,Black,28,150000,42,0
XL3-1255611,29,1.32E+18,1.33E+18,64618,Black,28,70000,42,1
XL3-1132334,35,1.32E+18,1.33E+18,62000,Black,28,130000,49,0
XL3-1132334,34,1.32E+18,1.33E+18,62000,Black,28,85000,49,1
XL3-1242314,18,1.31E+18,1.33E+18,80021,Brown,29,110000,67,0
