No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,ymd
24882,2016,1,1,17,180.0,214.0,48.0,150.0,3700.0,9.0,1.2,1017.0,-6.9,0.0,E,1.1,Aotizhongxin,2016-01-01
24906,2016,1,2,17,170.0,185.0,36.0,136.0,3100.0,11.0,2.5,1014.7,-5.4,0.0,ENE,1.1,Aotizhongxin,2016-01-02
24930,2016,1,3,17,187.0,188.0,14.0,100.0,2700.0,11.0,0.8,1018.2,-5.2,0.0,S,0.9,Aotizhongxin,2016-01-03
24954,2016,1,4,17,16.0,18.0,7.0,31.0,600.0,57.0,0.8,1024.9,-17.5,0.0,NNW,3.0,Aotizhongxin,2016-01-04
24978,2016,1,5,17,54.0,87.0,17.0,80.0,1400.0,16.0,-0.5,1023.6,-16.4,0.0,WSW,2.2,Aotizhongxin,2016-01-05
25002,2016,1,6,17,12.0,36.0,6.0,25.0,500.0,60.0,1.0,1026.3,-18.4,0.0,NW,4.7,Aotizhongxin,2016-01-06
25026,2016,1,7,17,7.0,14.0,5.0,21.0,400.0,62.0,-0.7,1024.6,-17.9,0.0,WNW,4.1,Aotizhongxin,2016-01-07
25050,2016,1,8,17,13.0,19.0,10.0,27.0,500.0,59.0,-0.7,1022.5,-17.0,0.0,E,1.4,Aotizhongxin,2016-01-08
25074,2016,1,9,17,48.0,81.0,26.0,99.0,1400.0,17.0,2.6,1019.5,-15.5,0.0,SW,1.1,Aotizhongxin,2016-01-09
25098,2016,1,10,17,69.0,113.0,33.0,90.0,2300.0,18.0,-0.9,1027.5,-15.9,0.0,ESE,1.6,Aotizhongxin,2016-01-10
25122,2016,1,11,17,11.0,32.0,2.0,23.0,600.0,61.0,-3.6,1030.1,-22.8,0.0,NW,2.1,Aotizhongxin,2016-01-11
25146,2016,1,12,17,9.0,30.0,6.0,22.0,500.0,60.0,-2.5,1024.9,-24.3,0.0,NW,4.1,Aotizhongxin,2016-01-12
25170,2016,1,13,17,17.0,50.0,17.0,41.0,700.0,50.0,1.3,1017.6,-24.2,0.0,WNW,3.8,Aotizhongxin,2016-01-13
25194,2016,1,14,17,42.0,60.0,19.0,62.0,1000.0,45.0,2.7,1014.5,-20.0,0.0,WSW,1.1,Aotizhongxin,2016-01-14
25218,2016,1,15,17,88.0,119.0,32.0,108.0,1700.0,19.0,2.2,1012.8,-17.4,0.0,SE,1.4,Aotizhongxin,2016-01-15
25242,2016,1,16,17,125.0,151.0,46.0,88.0,2700.0,10.0,-2.8,1018.8,-11.1,0.0,S,1.3,Aotizhongxin,2016-01-16
25266,2016,1,17,17,12.0,18.0,2.0,17.0,500.0,70.0,-5.4,1021.3,-22.4,0.0,NNW,3.2,Aotizhongxin,2016-01-17
25290,2016,1,18,17,9.0,92.0,2.0,12.0,500.0,19.0,-6.5,1023.0,-24.3,0.0,NNW,5.0,Aotizhongxin,2016-01-18
25314,2016,1,19,17,51.0,87.0,27.0,62.0,1300.0,36.0,-2.9,1026.2,-23.4,0.0,SW,2.1,Aotizhongxin,2016-01-19
25338,2016,1,20,17,136.0,155.0,76.0,102.0,4000.0,11.0,-4.6,1028.8,-16.2,0.0,E,1.5,Aotizhongxin,2016-01-20
